PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,12.5,60.0,0,0,0,36.0,96.3,0.0,989.1,124,1.7
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,12.3,59.8,0,0,0,36.4,98.3,0.0,989.0,125,2.0
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,12.5,60.4,0,0,0,36.4,99.2,0.0,988.8,128,2.3
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,13.0,48.8,0,0,0,35.9,99.0,0.0,988.6,134,2.6
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,13.5,41.6,0,0,0,35.4,98.8,0.0,988.3,138,2.8
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,14.0,44.6,0,0,0,34.5,98.8,0.0,988.0,143,3.1
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,14.6,44.9,0,0,0,33.1,98.9,0.0,987.8,148,3.5
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,15.1,45.0,0,0,0,31.7,99.0,0.0,987.5,153,3.8
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,15.4,45.1,0,0,0,30.5,98.5,0.0,987.4,157,3.9
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,15.3,21.8,0,0,0,29.4,97.5,0.0,987.4,161,3.8
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,15.2,25.5,0,0,0,28.3,96.4,0.0,987.4,166,3.7
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,15.5,28.3,2,0,2,28.2,95.9,0.0,987.4,170,3.8
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,16.1,68.5,23,0,23,28.9,96.0,0.0,987.6,173,4.2
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,16.6,70.2,77,0,77,29.6,96.1,0.0,987.7,174,4.6
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,17.2,70.2,117,0,117,30.2,96.0,0.0,987.3,177,5.1
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,17.7,79.4,101,0,101,30.8,95.6,0.0,986.4,180,5.6
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,18.2,87.3,67,0,67,31.3,95.3,0.0,985.4,183,6.1
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,18.7,76.0,122,0,122,31.2,94.4,0.0,984.8,185,6.2
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,19.1,63.1,139,34,154,30.5,93.2,0.0,984.5,188,6.1
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,19.4,46.0,163,0,163,29.8,91.9,0.0,984.1,190,5.9
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,19.6,23.4,97,67,106,29.9,89.8,0.0,984.1,192,5.8
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,19.4,24.2,11,22,13,30.7,86.8,0.0,984.3,192,5.6
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,19.2,10.8,0,0,0,31.5,84.0,0.0,984.5,192,5.4
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,19.0,17.1,0,0,0,32.7,83.1,0.0,984.6,194,5.3
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,18.6,33.3,0,0,0,34.2,84.1,0.0,984.7,198,5.3
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,18.2,45.9,0,0,0,35.8,85.1,0.0,984.8,201,5.4
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,18.0,44.8,0,0,0,37.1,87.6,0.0,984.9,206,5.3
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,17.8,70.2,0,0,0,38.2,91.5,0.0,985.0,211,4.9
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,17.6,92.1,0,0,0,39.3,95.5,0.0,985.2,217,4.6
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,17.6,91.0,0,0,0,39.4,97.8,0.0,985.2,223,4.2
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,17.7,87.6,0,0,0,38.4,98.2,0.0,985.3,229,3.7
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,17.7,85.5,0,0,0,37.5,98.6,0.0,985.3,238,3.2
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,17.7,84.1,0,0,0,36.4,98.2,0.0,985.5,246,2.7
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,17.5,69.2,0,0,0,35.3,97.0,0.0,985.9,255,2.1
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,17.3,57.4,0,0,0,34.2,95.7,0.0,986.3,271,1.6
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,17.1,60.7,1,0,1,33.7,95.4,0.0,986.9,284,1.5
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,16.9,28.6,62,0,62,33.6,96.1,0.0,987.6,286,1.7
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,16.8,47.4,125,0,125,33.6,96.6,0.0,988.3,288,1.8
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,16.9,56.7,160,0,160,33.6,94.0,0.0,988.6,290,2.0
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,17.3,62.0,180,0,180,33.6,88.3,0.0,988.4,292,2.2
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,17.6,80.5,100,0,100,33.6,83.0,0.0,988.1,294,2.4
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,17.7,63.4,180,0,180,33.2,79.5,0.0,988.0,295,2.4
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,17.5,44.0,226,8,230,32.3,77.6,0.0,988.0,297,2.2
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,17.3,27.9,193,41,206,31.4,75.6,0.0,987.9,300,2.0
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,17.0,36.3,82,50,94,30.5,75.9,0.0,988.1,301,1.9
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,16.5,30.1,9,0,9,29.5,78.3,0.0,988.5,301,2.0
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,16.1,29.8,0,0,0,28.6,80.9,0.0,988.8,301,2.0
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,15.3,30.7,0,0,0,27.6,83.2,0.0,989.1,303,2.0
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,14.4,30.2,0,0,0,26.4,85.4,0.0,989.3,309,1.9
2019-01-02T03:00:00Z,2019-01-02T02:00:00Z,PT60M,13.4,30.0,0,0,0,25.2,87.6,0.0,989.4,315,1.9
2019-01-02T04:00:00Z,2019-01-02T03:00:00Z,PT60M,12.5,30.9,0,0,0,24.0,89.8,0.0,989.5,320,1.8
2019-01-02T05:00:00Z,2019-01-02T04:00:00Z,PT60M,11.8,37.6,0,0,0,22.7,91.9,0.0,989.5,323,1.8
2019-01-02T06:00:00Z,2019-01-02T05:00:00Z,PT60M,11.1,30.7,0,0,0,21.4,94.0,0.0,989.4,326,1.8
2019-01-02T07:00:00Z,2019-01-02T06:00:00Z,PT60M,10.7,34.9,0,0,0,20.6,95.4,0.0,989.5,330,1.8
2019-01-02T08:00:00Z,2019-01-02T07:00:00Z,PT60M,10.4,29.3,0,0,0,20.2,95.8,0.0,989.6,332,1.8
2019-01-02T09:00:00Z,2019-01-02T08:00:00Z,PT60M,10.2,29.2,0,0,0,19.8,96.2,0.0,989.7,335,1.8
2019-01-02T10:00:00Z,2019-01-02T09:00:00Z,PT60M,10.2,24.1,0,0,0,20.2,95.9,0.0,989.7,337,1.8
2019-01-02T11:00:00Z,2019-01-02T10:00:00Z,PT60M,10.3,9.0,0,0,0,21.4,94.8,0.0,989.6,338,1.8
2019-01-02T12:00:00Z,2019-01-02T11:00:00Z,PT60M,10.5,0.0,0,0,0,22.6,93.8,0.0,989.5,338,1.7
2019-01-02T13:00:00Z,2019-01-02T12:00:00Z,PT60M,10.8,0.0,2,9,2,23.8,92.7,0.0,989.7,337,1.6
2019-01-02T14:00:00Z,2019-01-02T13:00:00Z,PT60M,11.4,28.8,54,50,59,25.0,91.4,0.0,990.3,333,1.4
2019-01-02T15:00:00Z,2019-01-02T14:00:00Z,PT60M,11.9,52.2,117,0,117,26.1,90.2,0.0,990.9,327,1.1
2019-01-02T16:00:00Z,2019-01-02T15:00:00Z,PT60M,12.7,62.1,146,0,146,27.3,86.4,0.0,991.0,319,0.9
2019-01-02T17:00:00Z,2019-01-02T16:00:00Z,PT60M,13.8,68.1,155,0,155,28.5,80.6,0.0,990.5,307,0.7
2019-01-02T18:00:00Z,2019-01-02T17:00:00Z,PT60M,14.8,80.8,99,0,99,29.6,75.2,0.0,990.0,290,0.6
2019-01-02T19:00:00Z,2019-01-02T18:00:00Z,PT60M,15.2,92.3,39,0,39,30.5,74.0,0.0,989.4,275,0.5
2019-01-02T20:00:00Z,2019-01-02T19:00:00Z,PT60M,15.0,81.2,75,0,75,31.1,76.7,0.0,988.7,263,0.4
2019-01-02T21:00:00Z,2019-01-02T20:00:00Z,PT60M,14.7,75.4,67,0,67,31.7,79.6,0.0,988.1,241,0.3
2019-01-02T22:00:00Z,2019-01-02T21:00:00Z,PT60M,14.0,54.3,53,0,53,32.4,83.5,0.0,987.8,293,0.1
2019-01-02T23:00:00Z,2019-01-02T22:00:00Z,PT60M,12.8,41.6,9,0,9,33.2,88.8,0.0,987.8,4,0.5
2019-01-03T00:00:00Z,2019-01-02T23:00:00Z,PT60M,11.6,43.9,0,0,0,34.1,94.4,0.0,987.8,11,1.1
2019-01-03T01:00:00Z,2019-01-03T00:00:00Z,PT60M,11.2,50.4,0,0,0,34.0,97.2,0.0,987.6,19,1.4
2019-01-03T02:00:00Z,2019-01-03T01:00:00Z,PT60M,11.4,41.0,0,0,0,33.2,96.8,0.0,987.2,31,1.5
2019-01-03T03:00:00Z,2019-01-03T02:00:00Z,PT60M,11.7,45.3,0,0,0,32.3,96.5,0.0,986.8,41,1.7
